source,target
2111374930,2049496821
2111374930,2050776140
2111374930,1978845392
2111374930,2058105619
2111374930,2150509498
2111374930,2157716938
2111374930,2146429040
2111374930,2043153484
2111374930,1967050232
2111374930,2105070611
1801182092,1916920390
1801182092,2073691881
1801182092,2320121120
1801182092,2130399979
1801182092,2471613662
1600702052,56641886
1966001053,2083281122
1966001053,2202777762
1966001053,2083511573
1966001053,1997575625
2043310452,1513488900
2043310452,1497653339
2043310452,2028089885
2043310452,2082358101
2043310452,2038220201
2077389783,2083281122
2077389783,1993243599
2008235313,2091460873
2008235313,2202777762
2008235313,2278448846
2008235313,1798489336
2008235313,1932582440
2008235313,2042474989
2008235313,1545072659
2008235313,1967892600
2008235313,2025333233
2055061524,1504183433
2055061524,1978845392
2055061524,2043002852
2055061524,2074665709
2055061524,2082358101
2055061524,2130399979
2089705972,2004638404
2089705972,2086349579
2089705972,1555700134
2089705972,1913732766
2089705972,1609821603
2089705972,2118955670
